,accuracy,precision,recall,f1,roc_auc
random_forest,0.844311377245509,0.7045790251107829,0.6084183673469388,0.6529774127310062,0.8865876039495677
gradient_boosting,0.8604329801934593,0.7694194603434178,0.6001275510204082,0.6743102830526693,0.9147071872227153
logistic_regression,0.8519883310302472,0.7366771159874608,0.5994897959183674,0.6610407876230661,0.9020942097769342
svc,0.8467680024566252,0.7375,0.5644132653061225,0.6394508670520231,0.8999136547945772
